ts_utc,symbol,setup,side,entry,sl,tp,was_executed,skip_reason
2026-04-27 11:35:27,AVAXUSD,RG2,SELL,9.25,9.28,9.22,N,insufficient_balance
2026-04-27 11:38:33,ETHUSD,RG2,SELL,2318.57,2325.53,2311.61,N,insufficient_balance
2026-04-27 11:38:59,BNBUSD,RG2,SELL,627.23,629.11,625.35,N,error:circuito alpaca abierto
2026-04-27 11:39:05,BNBUSD,RG2,SELL,627.23,629.11,625.35,N,error:circuito alpaca abierto
2026-04-27 11:39:10,BNBUSD,RG2,SELL,627.23,629.11,625.35,N,error:circuito alpaca abierto
2026-04-27 11:39:16,BNBUSD,RG2,SELL,627.23,629.11,625.35,N,error:circuito alpaca abierto
2026-04-27 11:40:01,SOLUSD,RG2,SELL,85.2,85.46,84.94,N,error:circuito alpaca abierto
2026-04-27 11:40:07,SOLUSD,RG2,SELL,85.2,85.46,84.94,N,error:circuito alpaca abierto
2026-04-27 11:40:12,SOLUSD,RG2,SELL,85.2,85.46,84.94,N,error:circuito alpaca abierto
2026-04-27 11:40:18,SOLUSD,RG2,SELL,85.2,85.46,84.94,N,error:circuito alpaca abierto
2026-04-27 11:42:45,AVAXUSD,RG2,SELL,9.26,9.29,9.23,N,insufficient_balance
2026-04-27 12:01:36,ETHUSD,RG2,SELL,2318.48,2325.44,2311.52,N,insufficient_balance
2026-04-27 12:01:59,BNBUSD,RG2,SELL,626.76,628.64,624.88,N,error:circuito alpaca abierto
2026-04-27 12:02:00,AVAXUSD,RG2,SELL,9.25,9.28,9.22,N,error:circuito alpaca abierto
2026-04-27 12:02:04,BNBUSD,RG2,SELL,626.76,628.64,624.88,N,error:circuito alpaca abierto
2026-04-27 12:02:05,AVAXUSD,RG2,SELL,9.25,9.28,9.22,N,error:circuito alpaca abierto
2026-04-27 12:02:10,BNBUSD,RG2,SELL,626.76,628.64,624.88,N,error:circuito alpaca abierto
2026-04-27 12:02:11,AVAXUSD,RG2,SELL,9.25,9.28,9.22,N,error:circuito alpaca abierto
2026-04-27 12:02:15,BNBUSD,RG2,SELL,626.76,628.64,624.88,N,error:circuito alpaca abierto
2026-04-27 12:02:16,AVAXUSD,RG2,SELL,9.25,9.28,9.22,N,error:circuito alpaca abierto
2026-04-27 12:02:59,SOLUSD,RG2,SELL,85.16,85.42,84.9,N,error:circuito alpaca abierto
2026-04-27 12:02:59,AVAXUSD,TREND,SELL,9.24,9.38,,N,error:circuito alpaca abierto
2026-04-27 12:03:04,SOLUSD,RG2,SELL,85.16,85.42,84.9,N,error:circuito alpaca abierto
2026-04-27 12:03:05,AVAXUSD,TREND,SELL,9.24,9.38,,N,error:circuito alpaca abierto
2026-04-27 12:03:10,SOLUSD,RG2,SELL,85.16,85.42,84.9,N,error:circuito alpaca abierto
2026-04-27 12:03:10,AVAXUSD,TREND,SELL,9.24,9.38,,N,error:circuito alpaca abierto
2026-04-27 12:03:15,SOLUSD,RG2,SELL,85.16,85.42,84.9,N,error:circuito alpaca abierto
2026-04-27 12:03:16,AVAXUSD,TREND,SELL,9.24,9.38,,N,error:circuito alpaca abierto
2026-04-27 12:24:31,ETHUSD,RG2,SELL,2317.37,2324.32,2310.42,N,insufficient_balance
2026-04-27 12:24:31,AVAXUSD,RG2,SELL,9.25,9.28,9.22,N,error:circuito alpaca abierto
2026-04-27 12:25:00,XRPUSD,RG2,SELL,1.413,1.42,1.41,N,error:circuito alpaca abierto
2026-04-27 12:25:05,XRPUSD,RG2,SELL,1.413,1.42,1.41,N,error:circuito alpaca abierto
2026-04-27 12:25:11,XRPUSD,RG2,SELL,1.413,1.42,1.41,N,error:circuito alpaca abierto
2026-04-27 12:25:16,XRPUSD,RG2,SELL,1.413,1.42,1.41,N,error:circuito alpaca abierto
2026-04-27 12:55:33,BTCUSD,RG2,SELL,77682.7,77915.75,77449.65,N,insufficient_balance
2026-04-27 13:04:35,SOLUSD,RG2,SELL,85.06,85.32,84.8,N,insufficient_balance
2026-04-27 13:12:00,BTCUSD,SMC,BUY,77728.86,77621.57,77943.43,Y,
2026-04-27 13:26:42,AVAXUSD,RG2,SELL,9.24,9.27,9.21,N,insufficient_balance
2026-04-27 13:28:30,ETHUSD,RG2,SELL,2313.91,2320.85,2306.97,N,insufficient_balance
2026-04-27 13:39:01,ETHUSD,SMC,BUY,2317.74,2311.8,2329.62,Y,
2026-04-27 13:43:00,BTCUSD,SMC,BUY,77874.01,77602.03,78417.97,Y,
2026-04-27 13:44:31,XRPUSD,RG2,SELL,1.4074,1.41,1.4,N,insufficient_balance
2026-04-27 13:45:02,BNBUSD,RG2,SELL,625.87,627.75,623.99,N,"error:asset ""BNBUSD"" not found"
2026-04-27 13:47:00,ETHUSD,RG2,SELL,2313.22,2320.16,2306.28,Y,
2026-04-27 13:47:33,SOLUSD,RG2,SELL,85.12,85.38,84.86,N,insufficient_balance
2026-04-27 13:48:59,BTCUSD,RG2,SELL,77671.3,77904.31,77438.29,N,error:circuito alpaca abierto
2026-04-27 13:48:59,SOLUSD,SMC,SELL,84.88,85.43,83.78,N,error:circuito alpaca abierto
2026-04-27 13:49:05,BTCUSD,RG2,SELL,77671.3,77904.31,77438.29,N,error:circuito alpaca abierto
2026-04-27 13:49:05,SOLUSD,SMC,SELL,84.88,85.43,83.78,N,error:circuito alpaca abierto
2026-04-27 13:49:10,BTCUSD,RG2,SELL,77671.3,77904.31,77438.29,N,error:circuito alpaca abierto
2026-04-27 13:49:10,SOLUSD,SMC,SELL,84.88,85.43,83.78,N,error:circuito alpaca abierto
2026-04-27 13:49:16,BTCUSD,RG2,SELL,77671.3,77904.31,77438.29,N,error:circuito alpaca abierto
2026-04-27 13:49:16,SOLUSD,SMC,SELL,84.88,85.43,83.78,N,error:circuito alpaca abierto
2026-04-27 14:06:01,BTCUSD,RG2,SELL,77710.86,77943.99,77477.73,Y,
