open_time_utc,close_time_utc,duration_sec,symbol,setup,side,entry,sl,tp,close_price,outcome,was_executed,skip_reason
2026-04-26 16:23:02,2026-04-26 16:23:02,0,BTCUSD,B,CLOSE,,,,,CLOSE,Y,
2026-04-26 16:26:00,2026-04-26 16:26:00,0,BTCUSD,B,CLOSE,,,,,CLOSE,Y,
2026-04-26 16:28:01,2026-04-26 16:28:01,0,BTCUSD,B,CLOSE,,,,,CLOSE,Y,
2026-04-26 16:34:02,2026-04-26 16:34:02,0,BTCUSD,D,CLOSE,,,,,CLOSE,Y,
